Week,21 savage,ICE,Saint Laurent,Honda,forever 21,21 savage ICE,21 savage saint laurent,21 savage honda,21 savage forever 21
2014-02-16,0,57,0.5,29,8,0,0,0,0
2014-02-23,0,31,0.5,30,8,0,0,0,0
2014-03-02,0.5,29,0.5,28,8,0,0,0,0
2014-03-09,0.5,26,0.5,29,8,0,0,0,0
2014-03-16,0.5,26,0.5,30,8,0,0,0,0
2014-03-23,0.5,25,0.5,29,8,0,0,0,0.5
2014-03-30,0,25,0.5,28,8,0,0,0,0
2014-04-06,0.5,25,0.5,29,8,0,0,0,0
2014-04-13,0.5,26,0.5,30,8,0,0,0,0
2014-04-20,0.5,25,0.5,30,8,0,0,0,0
2014-04-27,0.5,25,0.5,29,7,0,0,0,0
2014-05-04,0.5,25,0.5,28,8,0,0,0,0
2014-05-11,0.5,28,0.5,30,8,0,0,0,0
2014-05-18,0.5,29,0.5,31,8,0,0,0,0
2014-05-25,0.5,28,0.5,32,8,0,0,0,0
2014-06-01,0,28,0.5,30,8,0,0,0,0
2014-06-08,0,28,0.5,30,7,0,0,0,0
2014-06-15,0.5,30,0.5,32,8,0,0,0,0
2014-06-22,0.5,29,0.5,32,8,0,0,0,0
2014-06-29,0.5,31,0.5,32,8,0,0,0,0
2014-07-06,0.5,29,0.5,32,7,0,0,0,0
2014-07-13,0,30,0.5,32,7,0,0,0,0
2014-07-20,0.5,29,0.5,33,8,0,0,0,0
2014-07-27,0,28,0.5,31,8,0,0,0,0
2014-08-03,0.5,29,0.5,31,8,0,0,0,0
2014-08-10,0.5,39,0.5,31,8,0,0,0,0
2014-08-17,0.5,100,0.5,31,7,0,0,0,0
2014-08-24,0.5,56,0.5,31,7,0,0,0,0
2014-08-31,0,33,0.5,30,7,0,0,0,0
2014-09-07,0.5,27,0.5,28,6,0,0,0,0
2014-09-14,0.5,25,0.5,27,7,0,0,0,0
2014-09-21,0.5,25,0.5,28,7,0,0,0,0
2014-09-28,0.5,24,0.5,28,7,0,0,0,0
2014-10-05,0.5,26,0.5,27,7,0,0,0,0
2014-10-12,0.5,24,0.5,27,8,0,0,0,0.5
2014-10-19,0.5,24,0.5,31,7,0,0,0,0
2014-10-26,0.5,24,0.5,28,7,0,0,0,0
2014-11-02,0.5,24,0.5,27,7,0,0,0,0
2014-11-09,0.5,27,0.5,27,8,0,0,0,0
2014-11-16,0.5,31,0.5,27,8,0,0,0,0
2014-11-23,0.5,30,0.5,26,12,0,0,0,0.5
2014-11-30,0.5,29,0.5,24,11,0,0,0,0.5
2014-12-07,0.5,30,0.5,23,8,0,0,0,0
2014-12-14,0.5,31,0.5,24,8,0,0,0,0
2014-12-21,0.5,36,0.5,25,9,0,0,0,0
2014-12-28,0.5,41,0.5,27,8,0,0,0,0
2015-01-04,0.5,33,0.5,25,6,0,0,0,0
2015-01-11,0.5,32,0.5,26,6,0,0,0,0
2015-01-18,0.5,32,0.5,26,6,0,0,0,0
2015-01-25,0.5,29,0.5,26,6,0,0,0,0
2015-02-01,0.5,28,0.5,26,6,0,0,0,0
