Week,drake sprite,drake t-mobile,drake spotify,drake virginia black,drake,sprite,t-mobile,spotify,virginia black
2014-02-16,6,0,1,0,20,2,4,9,0.5
2014-02-23,0,0,1,0,20,2,4,9,0.5
2014-03-02,2,0,1,0.5,20,2,4,9,0.5
2014-03-09,1,0,1,0,19,2,4,9,0.5
2014-03-16,0,0.5,0,0,21,2,4,9,0.5
2014-03-23,0.5,0.5,1,0,21,2,4,10,0.5
2014-03-30,2,0,0,0,26,2,4,10,0.5
2014-04-06,2,0,1,0,24,2,4,11,0.5
2014-04-13,1,0,1,0,21,2,4,11,0.5
2014-04-20,4,0,2,0,21,2,4,11,0.5
2014-04-27,2,0,0.5,0,20,2,4,11,0.5
2014-05-04,2,0,1,0,22,2,4,11,0.5
2014-05-11,1,0,0,0,20,2,4,11,0.5
2014-05-18,1,0,1,0,19,2,4,12,0.5
2014-05-25,1,0,2,0,17,2,4,11,0.5
2014-06-01,0.5,0,2,0,27,2,4,12,0.5
2014-06-08,0.5,0,1,0,22,2,4,11,0.5
2014-06-15,0,0,0.5,0,21,2,4,11,0.5
2014-06-22,0.5,0,1,0,20,2,4,10,0.5
2014-06-29,1,0,3,0,19,2,4,11,0.5
2014-07-06,0,0,2,0,19,2,4,11,0.5
2014-07-13,0,0,0.5,0,26,2,4,11,0.5
2014-07-20,0,0,0.5,0,19,2,4,11,0.5
2014-07-27,0,0,1,0,18,2,4,11,0.5
2014-08-03,0,0,2,0,21,2,4,12,0.5
2014-08-10,0.5,0,1,0,22,2,4,12,0.5
2014-08-17,0,0,0.5,0,23,2,4,13,0.5
2014-08-24,2,0,1,0,22,2,4,14,0.5
2014-08-31,0,0,1,0,18,2,4,13,0.5
2014-09-07,0,0,1,0,17,1,6,13,0.5
2014-09-14,1,0,0.5,0,17,2,5,14,0.5
2014-09-21,0,0,1,0,17,2,5,14,0.5
2014-09-28,0.5,0,1,0,16,2,5,14,0.5
2014-10-05,0.5,0,0.5,0,17,1,4,14,0.5
2014-10-12,0.5,0,0.5,0,15,2,4,13,0.5
2014-10-19,1,0,2,0,24,2,4,14,0.5
2014-10-26,0.5,0,2,0,25,2,4,15,0.5
2014-11-02,1,0,0.5,0,20,2,4,17,0.5
2014-11-09,0,0,0.5,0,19,2,4,17,0.5
2014-11-16,0,0,2,0.5,18,2,4,16,0.5
2014-11-23,0.5,0,1,0,17,2,4,14,0.5
2014-11-30,0.5,0,1,0,16,1,4,16,0.5
2014-12-07,0.5,0,3,0,33,2,4,18,0.5
2014-12-14,0,0,2,0,19,2,4,18,0.5
2014-12-21,0,0,1,0,17,2,4,16,0.5
2014-12-28,0.5,0,1,0,17,2,4,14,0.5
2015-01-04,0.5,0.5,2,0,16,1,3,14,0.5
2015-01-11,1,0,1,0,15,1,3,14,0.5
2015-01-18,0,0,2,0,15,2,3,14,0.5
2015-01-25,1,0,1,0,16,2,3,15,0.5
2015-02-01,1,0,2,0,16,2,3,15,0.5
2015-02-08,3,0,11,0,39,2,3,15,0.5
2015-02-15,2,0,16,0.5,37,2,3,15,0.5
2015-02-22,1,0,9,0,25,2,3,15,0.5
2015-03-01,1,0,6,0,23,2,3,15,0.5
2015-03-08,0.5,0,4,0,21,2,3,16,0.5
2015-03-15,1,0,7,0,21,2,3,17,0.5
