Week,cardi b,jay z,drake,kanye west,21 savage
2014-02-16,0,6,20,8,0.5
2014-02-23,0,6,19,6,0.5
2014-03-02,0,5,19,5,0.5
2014-03-09,0,6,18,5,0.5
2014-03-16,0,6,20,6,0.5
2014-03-23,0,10,21,6,0.5
2014-03-30,0,7,25,5,0.5
2014-04-06,0,7,23,6,0.5
2014-04-13,0,7,20,5,0
2014-04-20,0,7,20,4,0.5
2014-04-27,0.5,14,19,5,0.5
2014-05-04,0,7,21,5,0.5
2014-05-11,0,100,20,5,0.5
2014-05-18,0,18,19,6,0.5
2014-05-25,0,11,17,10,0.5
2014-06-01,0,7,25,6,0
2014-06-08,0,8,21,6,0.5
2014-06-15,0,7,20,6,0.5
2014-06-22,0,8,19,5,0.5
2014-06-29,0.5,11,18,5,0
2014-07-06,0.5,9,17,5,0
2014-07-13,0.5,7,25,5,0.5
2014-07-20,0.5,12,18,5,0.5
2014-07-27,0.5,11,18,5,0.5
2014-08-03,0.5,16,19,6,0.5
2014-08-10,0.5,10,21,5,0
2014-08-17,0.5,9,22,5,0.5
2014-08-24,0.5,11,21,5,0.5
2014-08-31,0.5,6,18,6,0
2014-09-07,0.5,5,16,5,0.5
2014-09-14,0.5,5,16,10,0
2014-09-21,0.5,8,16,6,0
2014-09-28,0.5,5,15,5,0.5
2014-10-05,0.5,4,17,5,0.5
2014-10-12,0.5,4,15,4,0.5
2014-10-19,0.5,4,23,4,0.5
2014-10-26,0.5,4,25,5,0.5
2014-11-02,0.5,4,19,5,0.5
2014-11-09,0.5,4,18,6,0.5
2014-11-16,0.5,4,17,5,0.5
2014-11-23,0.5,4,16,4,0
2014-11-30,0.5,5,15,4,0.5
2014-12-07,0.5,5,31,5,0.5
2014-12-14,0.5,5,18,4,0.5
2014-12-21,0.5,4,17,4,0.5
2014-12-28,0.5,4,16,8,0.5
2015-01-04,0.5,5,16,8,0.5
2015-01-11,0.5,4,14,4,0.5
2015-01-18,0.5,5,15,4,0.5
2015-01-25,0.5,4,15,7,0.5
2015-02-01,0.5,4,15,7,0.5
2015-02-08,0.5,6,38,35,0.5
2015-02-15,0.5,5,36,17,0.5
2015-02-22,0.5,4,24,11,0.5
2015-03-01,0.5,3,22,11,0.5
2015-03-08,0.5,3,20,10,0.5
2015-03-15,0.5,3,20,9,0.5
2015-03-22,0.5,4,18,6,0.5
2015-03-29,0.5,5,16,5,0.5
2015-04-05,0.5,4,16,6,0.5
2015-04-12,0.5,3,35,6,0
2015-04-19,0.5,4,19,6,0.5
2015-04-26,0.5,4,15,5,0.5
2015-05-03,0.5,4,17,5,0.5
2015-05-10,0.5,4,15,8,0
2015-05-17,0.5,5,18,9,0.5
2015-05-24,0.5,3,18,5,0.5
2015-05-31,0.5,3,20,5,0.5
2015-06-07,0.5,3,16,6,0.5
2015-06-14,0.5,4,16,4,0.5
2015-06-21,0.5,3,16,5,0
2015-06-28,0.5,3,18,6,0.5
2015-07-05,0.5,3,19,5,0.5
2015-07-12,0.5,3,20,4,0.5
2015-07-19,0.5,4,36,4,0.5
2015-07-26,0.5,4,96,5,0.5
2015-08-02,0.5,4,52,4,0.5
2015-08-09,0.5,4,30,4,0.5
2015-08-16,0.5,3,24,4,0.5
2015-08-23,0.5,3,26,4,0.5
2015-08-30,0.5,4,23,28,0.5
2015-09-06,0.5,4,30,7,0.5
2015-09-13,0.5,4,27,8,0.5
2015-09-20,0.5,5,53,6,0.5
2015-09-27,0.5,3,28,5,0.5
2015-10-04,0.5,3,28,5,0.5
2015-10-11,0.5,3,25,5,0.5
2015-10-18,0.5,4,47,5,0.5
2015-10-25,0.5,3,33,4,0.5
2015-11-01,0.5,3,25,4,0.5
2015-11-08,0.5,3,24,4,0.5
2015-11-15,0.5,3,21,4,0.5
2015-11-22,0.5,3,23,4,0.5
2015-11-29,0.5,4,21,4,0.5
2015-12-06,1,3,21,6,0.5
2015-12-13,2,3,20,5,0.5
2015-12-20,2,3,21,5,0.5
2015-12-27,2,3,20,8,0.5
2016-01-03,2,3,21,11,0.5
2016-01-10,2,3,20,9,0.5
2016-01-17,1,3,21,8,0.5
2016-01-24,1,3,24,22,0.5
2016-01-31,2,3,38,10,0.5
2016-02-07,1,5,23,31,0.5
2016-02-14,1,4,22,68,0.5
2016-02-21,1,3,22,23,0.5
2016-02-28,1,3,18,14,0.5
2016-03-06,2,3,16,9,0.5
2016-03-13,2,3,17,8,0.5
2016-03-20,3,3,17,7,0.5
2016-03-27,3,3,24,8,0.5
2016-04-03,2,3,33,8,0.5
2016-04-10,1,4,27,7,0.5
2016-04-17,1,3,26,8,0.5
2016-04-24,1,36,84,6,1
2016-05-01,1,8,62,7,1
2016-05-08,1,5,43,6,1
2016-05-15,1,4,43,7,1
2016-05-22,1,5,34,6,1
2016-05-29,1,5,30,6,1
2016-06-05,1,4,34,8,1
2016-06-12,1,4,28,10,1
2016-06-19,1,4,28,15,1
2016-06-26,1,6,31,29,1
2016-07-03,1,5,30,8,1
2016-07-10,1,4,26,5,2
2016-07-17,1,4,30,12,3
2016-07-24,1,4,27,7,3
2016-07-31,1,4,37,6,2
2016-08-07,0.5,3,31,5,2
2016-08-14,0.5,3,24,5,2
2016-08-21,0.5,3,24,6,2
2016-08-28,1,6,41,19,2
2016-09-04,1,4,28,10,2
2016-09-11,1,3,22,9,2
2016-09-18,1,3,20,8,3
2016-09-25,1,3,22,8,3
2016-10-02,0.5,3,19,12,3
2016-10-09,1,3,20,6,3
2016-10-16,0.5,4,17,8,3
2016-10-23,0.5,4,45,9,5
2016-10-30,1,5,21,6,5
2016-11-06,1,5,17,6,4
2016-11-13,1,3,22,7,4
2016-11-20,1,5,23,45,5
2016-11-27,1,3,20,15,6
