Week,jay z,samsung galaxy,Sprint,tidal,air force 1,jay z samsung galaxy,jay z sprint,jay z tidal,jay z air force 1
2014-02-16,6,24,28,1,1,0,1,0,0
2014-02-23,6,31,29,1,1,0,0.5,0,0
2014-03-02,5,25,28,1,1,0.5,0,0,0
2014-03-09,6,23,27,1,1,1,1,0,0
2014-03-16,6,23,26,1,1,0,0,0,0
2014-03-23,10,24,25,1,1,0.5,1,0,0
2014-03-30,7,24,26,1,1,0,0.5,0.5,1
2014-04-06,6,27,28,1,1,0,0.5,0,0
2014-04-13,7,26,27,1,1,0.5,0,0,0
2014-04-20,7,24,26,1,1,0,0.5,0,0
2014-04-27,14,23,27,1,1,0.5,1,0,0
2014-05-04,7,23,27,1,1,0.5,0.5,0,0.5
2014-05-11,100,22,27,1,1,1,3,0,0.5
2014-05-18,18,22,26,1,1,0.5,1,0,0
2014-05-25,10,22,26,1,1,1,0,0,0
2014-06-01,7,23,27,1,0.5,1,0.5,0,0
2014-06-08,8,23,27,1,1,0,0,0,0
2014-06-15,7,24,27,1,1,0.5,1,0,0
2014-06-22,8,23,26,1,1,0.5,0.5,0.5,0
2014-06-29,11,24,27,1,1,1,0,0,0
2014-07-06,8,24,27,1,1,0,1,0,0
2014-07-13,7,23,27,1,1,0,0.5,0,0
2014-07-20,12,23,27,1,1,0,0.5,0,0.5
2014-07-27,11,24,29,1,1,0.5,0.5,0,0
2014-08-03,16,24,29,1,1,1,1,0,0.5
2014-08-10,10,24,32,1,1,1,0.5,0,0
2014-08-17,9,24,30,1,1,0.5,1,0,0
2014-08-24,11,23,28,1,1,1,0,0,0
2014-08-31,6,24,28,1,1,0,0,0,0
2014-09-07,5,29,40,1,1,0,0.5,0,0.5
2014-09-14,5,27,38,1,1,0,0.5,0,0
2014-09-21,8,28,41,1,1,0.5,1,0,0.5
2014-09-28,5,24,37,1,1,0,0,0,0
2014-10-05,4,22,34,1,1,0,0.5,0,0
2014-10-12,4,23,32,1,1,0.5,0,0,0
2014-10-19,4,22,31,1,1,0,0,0,0
2014-10-26,4,21,29,1,1,0.5,0,0,0
2014-11-02,4,21,29,1,1,0.5,0.5,0,0
2014-11-09,4,21,29,1,1,0,0,0,0
2014-11-16,5,22,29,1,1,0.5,0.5,0,0
2014-11-23,4,30,33,1,1,0.5,1,0,0
2014-11-30,5,26,31,1,1,0,0,0,0
2014-12-07,4,23,28,1,1,0,0,0,0.5
2014-12-14,5,24,30,1,1,0,1,0,1
2014-12-21,4,28,31,1,1,0,0.5,0,0
2014-12-28,4,25,29,1,1,0.5,0,0,0
2015-01-04,4,20,25,1,1,0,0.5,0,0
2015-01-11,4,19,24,1,1,0,0.5,0,0.5
2015-01-18,5,20,24,1,1,0,0,0,0
2015-01-25,4,19,23,1,1,0.5,0.5,0,0
2015-02-01,4,20,24,1,1,0.5,0,0,0
2015-02-08,5,21,25,1,1,0,1,1,0
2015-02-15,5,21,26,1,1,0,0,0.5,0
2015-02-22,4,22,26,1,1,0,0,0.5,0
2015-03-01,3,29,27,1,1,0,0.5,0.5,0
2015-03-08,3,23,26,1,1,0,0,0.5,0
2015-03-15,3,22,25,1,1,0,0,0.5,0
2015-03-22,4,24,26,1,1,0.5,0.5,3,0.5
2015-03-29,5,23,25,13,1,0.5,1,92,0
2015-04-05,4,24,26,6,1,1,0.5,26,0.5
2015-04-12,4,23,26,3,1,0.5,0,10,0.5
2015-04-19,3,22,25,3,1,0,0.5,16,0
