Week,kanye west adidas yeezy,kanye west balmain,kanye west fatburger,kanye west bape,kanye west,adidas yeezy,balmain,fatburger,BAPE
2014-02-16,7,0,0,1,11,0.5,0.5,0.5,0.5
2014-02-23,3,3,0,0,9,0.5,1,0.5,0.5
2014-03-02,4,4,0,0,8,0.5,1,0.5,1
2014-03-09,3,3,0,1,7,0.5,1,0.5,0.5
2014-03-16,0,0,1,3,8,0.5,0.5,0.5,0.5
2014-03-23,0,3,1,1,8,0.5,1,0.5,0.5
2014-03-30,1,3,0,0,7,0.5,0.5,0.5,0.5
2014-04-06,13,0,0,0,8,0.5,0.5,0.5,1
2014-04-13,1,1,0,1,7,0.5,0.5,0.5,0.5
2014-04-20,0,3,0,1,6,0.5,0.5,0.5,0.5
2014-04-27,3,3,0,0,6,0.5,0.5,0.5,0.5
2014-05-04,0,0,0,1,7,0.5,0.5,0.5,0.5
2014-05-11,1,3,0,0,7,0.5,0.5,0.5,0.5
2014-05-18,3,2,0,2,9,0.5,1,0.5,0.5
2014-05-25,0,3,2,2,13,0.5,0.5,1,0.5
2014-06-01,0,0,0,2,8,0.5,0.5,0.5,0.5
2014-06-08,3,0,0,0,9,0.5,0.5,0.5,0.5
2014-06-15,2,0,0,2,8,0.5,0.5,0.5,0.5
2014-06-22,0,0,0,2,7,0.5,0.5,0.5,0.5
2014-06-29,2,0,2,0,7,0.5,0.5,0.5,0.5
2014-07-06,0,2,0,2,7,0.5,0.5,0.5,0.5
2014-07-13,0,2,0,2,7,0.5,0.5,0.5,0.5
2014-07-20,5,5,2,2,7,0.5,0.5,0.5,0.5
2014-07-27,5,0,0,0,8,0.5,0.5,0.5,0.5
2014-08-03,2,0,0,5,8,0.5,0.5,0.5,1
2014-08-10,0,0,0,0,7,0.5,1,0.5,1
2014-08-17,2,0,2,0,7,0.5,0.5,0.5,0.5
2014-08-24,2,3,2,2,8,0.5,1,0.5,1
2014-08-31,8,5,0,3,9,0.5,1,0.5,0.5
2014-09-07,5,2,0,3,7,0.5,1,0.5,1
2014-09-14,0,2,0,2,14,0.5,1,0.5,0.5
2014-09-21,2,3,0,0,9,0.5,1,0.5,1
2014-09-28,2,0,0,0,7,0.5,1,0.5,0.5
2014-10-05,0,2,0,2,6,0.5,1,0.5,1
2014-10-12,5,0,2,0,6,0.5,1,0.5,1
2014-10-19,0,2,0,6,6,0.5,1,0.5,0.5
2014-10-26,0,2,0,0,6,0.5,0.5,0.5,1
